Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode
-400,-2.452,3.56253125,7999.9,-14.23,0.00613,Rexolite,None,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,5
-200,-1.226,3.562528125,7992.4,-14.232,,,,,,,,,,,,,
0,0,3.562496875,7978.8,-14.255,,,,,,,,,,,,,
200,1.226,3.56239375,7971.2,-14.262,,,,,,,,,,,,,
400,2.452,3.562103125,7970.3,-14.271,,,,,,,,,,,,,
600,3.678,3.5615375,7948.8,-14.296,,,,,,,,,,,,,
800,4.904,3.560875,7945.3,-14.311,,,,,,,,,,,,,
1000,6.13,3.560215625,7930.5,-14.331,,,,,,,,,,,,,
1200,7.356,3.559565625,7913.6,-14.353,,,,,,,,,,,,,
1400,8.582,3.55895,7905.5,-14.374,,,,,,,,,,,,,
1600,9.808,3.55833125,7888.9,-14.393,,,,,,,,,,,,,
1800,11.034,3.55770625,7872.3,-14.418,,,,,,,,,,,,,
2000,12.26,3.55708125,7861,-14.442,,,,,,,,,,,,,
2200,13.486,3.55644375,7843.9,-14.468,,,,,,,,,,,,,
2400,14.712,3.55580625,7828.4,-14.488,,,,,,,,,,,,,
2600,15.938,3.55516875,7814.5,-14.515,,,,,,,,,,,,,
2800,17.164,3.554515625,7798.1,-14.535,,,,,,,,,,,,,
3000,18.39,3.55385625,7776.5,-14.56,,,,,,,,,,,,,
3200,19.616,3.5531875,7762.2,-14.584,,,,,,,,,,,,,
3400,20.842,3.55251875,7747.8,-14.611,,,,,,,,,,,,,
3600,22.068,3.551853125,7729.9,-14.635,,,,,,,,,,,,,
3800,23.294,3.5511875,7710.1,-14.657,,,,,,,,,,,,,
4000,24.52,3.55051875,7696.1,-14.685,,,,,,,,,,,,,
4200,25.746,3.549846875,7672.8,-14.716,,,,,,,,,,,,,
4400,26.972,3.549178125,7652.5,-14.746,,,,,,,,,,,,,
4600,28.198,3.548475,7621.1,-14.778,,,,,,,,,,,,,
4800,29.424,3.547690625,7585.2,-14.833,,,,,,,,,,,,,
5000,30.65,3.5466375,7530.3,-14.901,,,,,,,,,,,,,
