Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode
-400,-2.452,3.562540625,7995.9,-14.237,0.00613,Rexolite,None,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,5
-200,-1.226,3.562540625,7983.9,-14.243,,,,,,,,,,,,,
0,0,3.562528125,7988.6,-14.246,,,,,,,,,,,,,
200,1.226,3.562478125,7983.8,-14.248,,,,,,,,,,,,,
400,2.452,3.56224375,7979.8,-14.256,,,,,,,,,,,,,
600,3.678,3.56185625,7968.6,-14.271,,,,,,,,,,,,,
800,4.904,3.561415625,7953.7,-14.29,,,,,,,,,,,,,
1000,6.13,3.5609375,7940.5,-14.315,,,,,,,,,,,,,
1200,7.356,3.560434375,7928.7,-14.337,,,,,,,,,,,,,
1400,8.582,3.5599125,7913.5,-14.357,,,,,,,,,,,,,
1600,9.808,3.55936875,7899.8,-14.381,,,,,,,,,,,,,
1800,11.034,3.558809375,7879,-14.405,,,,,,,,,,,,,
2000,12.26,3.55824375,7865.1,-14.426,,,,,,,,,,,,,
2200,13.486,3.557653125,7848.1,-14.45,,,,,,,,,,,,,
2400,14.712,3.557040625,7829.4,-14.476,,,,,,,,,,,,,
2600,15.938,3.556428125,7817.2,-14.5,,,,,,,,,,,,,
2800,17.164,3.55579375,7798.2,-14.525,,,,,,,,,,,,,
3000,18.39,3.555146875,7775.5,-14.533,,,,,,,,,,,,,
3200,19.616,3.554490625,7757.3,-14.581,,,,,,,,,,,,,
3400,20.842,3.553834375,7739.1,-14.607,,,,,,,,,,,,,
3600,22.068,3.553175,7718.5,-14.635,,,,,,,,,,,,,
3800,23.294,3.552509375,7700.6,-14.663,,,,,,,,,,,,,
4000,24.52,3.551840625,7683,-14.686,,,,,,,,,,,,,
