Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-250,-1.5325,3.56251875,7981.2,-14.25,0.00613,None,Teflon,9.58,NaN,41.47,41.47,0,304.8,58.16,29.08,1.675,5,69.8368
0,0,3.562478125,7976.7,-14.252,,,,,,,,,,,,,,
250,1.5325,3.562234375,7963.5,-14.266,,,,,,,,,,,,,,
500,3.065,3.56156875,7940.2,-14.301,,,,,,,,,,,,,,
750,4.5975,3.560628125,7914.2,-14.344,,,,,,,,,,,,,,
1000,6.13,3.559503125,7887.9,-14.393,,,,,,,,,,,,,,
1250,7.6625,3.55824375,7857,-14.438,,,,,,,,,,,,,,
1500,9.195,3.55691875,7827.4,-14.479,,,,,,,,,,,,,,
1750,10.7275,3.5555125,7798,-14.527,,,,,,,,,,,,,,
2000,12.26,3.554059375,7772.1,-14.567,,,,,,,,,,,,,,
2250,13.7925,3.552584375,7752,-14.609,,,,,,,,,,,,,,
2500,15.325,3.551121875,7720.8,-14.654,,,,,,,,,,,,,,
2750,16.8575,3.5496125,7700.7,-14.695,,,,,,,,,,,,,,
3000,18.39,3.5480875,7679,-14.732,,,,,,,,,,,,,,
3250,19.9225,3.546559375,7647.9,-14.777,,,,,,,,,,,,,,
3500,21.455,3.54504375,7618.8,-14.822,,,,,,,,,,,,,,
3750,22.9875,3.5435,7592.5,-14.863,,,,,,,,,,,,,,
4000,24.52,3.5419125,7563.4,-14.906,,,,,,,,,,,,,,
4250,26.0525,3.5403125,7529,-14.958,,,,,,,,,,,,,,
4500,27.585,3.538625,7487,-15.018,,,,,,,,,,,,,,
4750,29.1175,3.536746875,7446.1,-15.089,,,,,,,,,,,,,,
5000,30.65,3.534953125,7507.1,-15.037,,,,,,,,,,,,,,
