Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode
-400,-2.452,3.562534375,7981.6,-14.253,0.00613,Rexolite,Teflon,9,9.32,35,32.1,8.13,304.8,58.16,29.08,1.675,5
-200,-1.226,3.56253125,7984.8,-14.242,,,,,,,,,,,,,
0,0,3.5624875,7966.7,-14.269,,,,,,,,,,,,,
200,1.226,3.56236875,7953.1,-14.285,,,,,,,,,,,,,
400,2.452,3.562015625,7935.7,-14.312,,,,,,,,,,,,,
600,3.678,3.561384375,7905.6,-14.351,,,,,,,,,,,,,
800,4.904,3.560596875,7871.5,-14.396,,,,,,,,,,,,,
1000,6.13,3.55969375,7840.2,-14.443,,,,,,,,,,,,,
1200,7.356,3.55870625,7802.7,-14.492,,,,,,,,,,,,,
1400,8.582,3.5576625,7769.3,-14.538,,,,,,,,,,,,,
1600,9.808,3.55655,7737.5,-14.585,,,,,,,,,,,,,
1800,11.034,3.55540625,7705.5,-14.633,,,,,,,,,,,,,
2000,12.26,3.554215625,7678.5,-14.678,,,,,,,,,,,,,
2200,13.486,3.553,7648.6,-14.723,,,,,,,,,,,,,
2400,14.712,3.551778125,7621.6,-14.765,,,,,,,,,,,,,
2600,15.938,3.5505375,7592.2,-14.809,,,,,,,,,,,,,
2800,17.164,3.549275,7564.1,-14.853,,,,,,,,,,,,,
3000,18.39,3.548015625,7539.7,-14.898,,,,,,,,,,,,,
3200,19.616,3.546734375,7506.9,-14.945,,,,,,,,,,,,,
3400,20.842,3.545440625,7476,-14.991,,,,,,,,,,,,,
3600,22.068,3.544175,7447.1,-15.034,,,,,,,,,,,,,
3800,23.294,3.542875,7416.9,-15.081,,,,,,,,,,,,,
4000,24.52,3.54158125,7388.7,-15.125,,,,,,,,,,,,,
4200,25.746,3.540275,7358.7,-15.174,,,,,,,,,,,,,
4400,26.972,3.5389125,7333.4,-15.222,,,,,,,,,,,,,
4600,28.198,3.537528125,7295.2,-15.285,,,,,,,,,,,,,
4800,29.424,3.535965625,7254.1,-15.353,,,,,,,,,,,,,
5000,30.65,3.533865625,7190.1,-15.448,,,,,,,,,,,,,
