Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff
-400,-2.452,3.56253125,7975.8,-14.265,0.00613,Rexolite,Rexolite,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,5,26.26,6.87,36.4672,61.8637
-200,-1.226,3.562521875,7973.9,-14.269,,,,,,,,,,,,,,,,,
0,0,3.562484375,7954.7,-14.286,,,,,,,,,,,,,,,,,
200,1.226,3.56235625,7936.5,-14.305,,,,,,,,,,,,,,,,,
400,2.452,3.5619875,7916.8,-14.333,,,,,,,,,,,,,,,,,
600,3.678,3.561321875,7879.2,-14.382,,,,,,,,,,,,,,,,,
800,4.904,3.56048125,7826.5,-14.444,,,,,,,,,,,,,,,,,
1000,6.13,3.559471875,7782,-14.508,,,,,,,,,,,,,,,,,
1200,7.356,3.55833125,7730.4,-14.576,,,,,,,,,,,,,,,,,
1400,8.582,3.557090625,7685.3,-14.638,,,,,,,,,,,,,,,,,
1600,9.808,3.55575625,7640.1,-14.704,,,,,,,,,,,,,,,,,
1800,11.034,3.554346875,7596.1,-14.766,,,,,,,,,,,,,,,,,
2000,12.26,3.552884375,7557.4,-14.827,,,,,,,,,,,,,,,,,
2200,13.486,3.551375,7521.1,-14.886,,,,,,,,,,,,,,,,,
2400,14.712,3.5498625,7483.1,-14.942,,,,,,,,,,,,,,,,,
2600,15.938,3.548309375,7442.8,-15.001,,,,,,,,,,,,,,,,,
2800,17.164,3.546725,7409.5,-15.059,,,,,,,,,,,,,,,,,
3000,18.39,3.54513125,7375.8,-15.118,,,,,,,,,,,,,,,,,
3200,19.616,3.54353125,7339.3,-15.172,,,,,,,,,,,,,,,,,
3400,20.842,3.541928125,7297.3,-15.23,,,,,,,,,,,,,,,,,
3600,22.068,3.54033125,7264.1,-15.292,,,,,,,,,,,,,,,,,
3800,23.294,3.538690625,7230.5,-15.349,,,,,,,,,,,,,,,,,
4000,24.52,3.5370375,7193.8,-15.408,,,,,,,,,,,,,,,,,
4200,25.746,3.535396875,7159.4,-15.476,,,,,,,,,,,,,,,,,
4400,26.972,3.5336875,7118,-15.541,,,,,,,,,,,,,,,,,
4600,28.198,3.531928125,7086,-15.606,,,,,,,,,,,,,,,,,
4800,29.424,3.529946875,7040.2,-15.686,,,,,,,,,,,,,,,,,
5000,30.65,3.527359375,6977.3,-15.805,,,,,,,,,,,,,,,,,
