Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample_length (mm),Sample OD (mm),Sample Aeff,vial with sample Aeff,mode
-400,-2.452,3.56253125,7989.8,-14.235,0.00613,Rexolite,Teflon,9,9.32,35,32.1,6.92,304.8,58.16,29.08,1.675,5,26.23,6.84,36.1545,61.8637,5
-200,-1.226,3.562521875,7988.4,-14.231,,,,,,,,,,,,,,,,,,
0,0,3.562478125,7972.9,-14.246,,,,,,,,,,,,,,,,,,
200,1.226,3.56234375,7953.9,-14.269,,,,,,,,,,,,,,,,,,
400,2.452,3.561959375,7933.5,-14.295,,,,,,,,,,,,,,,,,,
600,3.678,3.5613125,7903.2,-14.334,,,,,,,,,,,,,,,,,,
800,4.904,3.560515625,7870.8,-14.378,,,,,,,,,,,,,,,,,,
1000,6.13,3.5595875,7840.2,-14.429,,,,,,,,,,,,,,,,,,
1200,7.356,3.558578125,7808.4,-14.472,,,,,,,,,,,,,,,,,,
1400,8.582,3.55750625,7779.3,-14.518,,,,,,,,,,,,,,,,,,
1600,9.808,3.556371875,7751.6,-14.561,,,,,,,,,,,,,,,,,,
1800,11.034,3.55520625,7725.8,-14.603,,,,,,,,,,,,,,,,,,
2000,12.26,3.553996875,7698,-14.647,,,,,,,,,,,,,,,,,,
2200,13.486,3.55276875,7668.5,-14.692,,,,,,,,,,,,,,,,,,
2400,14.712,3.5515125,7643.7,-14.729,,,,,,,,,,,,,,,,,,
2600,15.938,3.55024375,7619.1,-14.771,,,,,,,,,,,,,,,,,,
2800,17.164,3.54895,7596,-14.811,,,,,,,,,,,,,,,,,,
3000,18.39,3.547665625,7567.7,-14.854,,,,,,,,,,,,,,,,,,
3200,19.616,3.546365625,7543.8,-14.894,,,,,,,,,,,,,,,,,,
3400,20.842,3.545053125,7510.6,-14.936,,,,,,,,,,,,,,,,,,
3600,22.068,3.5437625,7484.3,-14.976,,,,,,,,,,,,,,,,,,
3800,23.294,3.542446875,7458.9,-15.019,,,,,,,,,,,,,,,,,,
4000,24.52,3.54111875,7429.7,-15.064,,,,,,,,,,,,,,,,,,
4200,25.746,3.539796875,7400,-15.106,,,,,,,,,,,,,,,,,,
4400,26.972,3.53843475,7364,-15.16,,,,,,,,,,,,,,,,,,
4600,28.198,3.537025,7327.9,-15.223,,,,,,,,,,,,,,,,,,
4800,29.424,3.535415625,7289.4,-15.291,,,,,,,,,,,,,,,,,,
5000,30.65,3.533353125,7246.3,-15.361,,,,,,,,,,,,,,,,,,
