Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.562534375,7978.2,-14.251,0.00613,None,Acetal,9.02,9.02,34.97,34.97,0,304.8,58.16,29.08,1.675,5,62.1313
-200,-1.226,3.562528125,7961.6,-14.269,,,,,,,,,,,,,,
0,0,3.562478125,7902.7,-14.335,,,,,,,,,,,,,,
200,1.226,3.562309375,7746.3,-14.508,,,,,,,,,,,,,,
400,2.452,3.561859375,7373.3,-14.94,,,,,,,,,,,,,,
600,3.678,3.561059375,6713.1,-15.772,,,,,,,,,,,,,,
800,4.904,3.559978125,5916.2,-16.885,,,,,,,,,,,,,,
1000,6.13,3.55866975,5114,-18.167,,,,,,,,,,,,,,
1200,7.356,3.55718125,4400.3,-19.492,,,,,,,,,,,,,,
1400,8.582,3.555565625,3793.8,-20.796,,,,,,,,,,,,,,
1600,9.808,3.553828125,3291.8,-22.051,,,,,,,,,,,,,,
1800,11.034,3.552025,2880,-23.23,,,,,,,,,,,,,,
2000,12.26,3.550153125,2543,-24.321,,,,,,,,,,,,,,
2200,13.486,3.548234375,2268.8,-25.341,,,,,,,,,,,,,,
2400,14.712,3.54624375,2035.7,-26.297,,,,,,,,,,,,,,
2600,15.938,3.544284375,1847.8,-27.154,,,,,,,,,,,,,,
2800,17.164,3.542284375,1687.7,-27.958,,,,,,,,,,,,,,
3000,18.39,3.54025625,1552.1,-28.708,,,,,,,,,,,,,,
3200,19.616,3.53823125,1431.7,-29.413,,,,,,,,,,,,,,
3400,20.842,3.536153125,1329.9,-30.079,,,,,,,,,,,,,,
3600,22.068,3.534075,1241.4,-30.694,,,,,,,,,,,,,,
3800,23.294,3.532015625,1161.7,-31.293,,,,,,,,,,,,,,
4000,24.52,3.52985625,1088.8,-31.845,,,,,,,,,,,,,,
