Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.56255625,7991,-14.233,0.00613,None,Quartz,9.03,9.03,41.43,41.43,7.01,304.8,58.16,29.08,1.675,5,24.3221
-200,-1.226,3.56255,7987.1,-14.242,,,,,,,,,,,,,,
0,0,3.562503125,7976.7,-14.259,,,,,,,,,,,,,,
200,1.226,3.562359375,7955.7,-14.273,,,,,,,,,,,,,,
400,2.452,3.56196875,7948.4,-14.289,,,,,,,,,,,,,,
600,3.678,3.5613125,7939.5,-14.312,,,,,,,,,,,,,,
800,4.904,3.560578125,7928.4,-14.33,,,,,,,,,,,,,,
1000,6.13,3.559859375,7923.2,-14.348,,,,,,,,,,,,,,
1200,7.356,3.559171875,7915.8,-14.635,,,,,,,,,,,,,,
1400,8.582,3.5585125,7902.1,-14.384,,,,,,,,,,,,,,
1600,9.808,3.557865625,7894.1,-14.401,,,,,,,,,,,,,,
1800,11.034,3.557228125,7887.2,-14.418,,,,,,,,,,,,,,
2000,12.26,3.5565875,7874.7,-14.438,,,,,,,,,,,,,,
2200,13.486,3.555940625,7863.3,-14.457,,,,,,,,,,,,,,
2400,14.712,3.555303125,7849.8,-14.479,,,,,,,,,,,,,,
2600,15.938,3.55464375,7839.8,-14.5,,,,,,,,,,,,,,
2800,17.164,3.553984375,7826,-14.518,,,,,,,,,,,,,,
3000,18.39,3.55331875,7815.4,-14.537,,,,,,,,,,,,,,
3200,19.616,3.55265,7804.6,-14.555,,,,,,,,,,,,,,
3400,20.842,3.551990625,7793.1,-14.573,,,,,,,,,,,,,,
3600,22.068,3.551328125,7782,-14.592,,,,,,,,,,,,,,
3800,23.294,3.550671875,7768.2,-14.613,,,,,,,,,,,,,,
4000,24.52,3.550009375,7754.9,-14.633,,,,,,,,,,,,,,
4200,25.746,3.549359375,7735.7,-14.657,,,,,,,,,,,,,,
4400,26.972,3.54896375,7719.5,-14.684,,,,,,,,,,,,,,
4600,28.198,3.54799375,7695.7,-14.72,,,,,,,,,,,,,,
4800,29.424,3.547175,7650.2,-14.774,,,,,,,,,,,,,,
5000,30.65,3.546409375,7679.1,-14.75,,,,,,,,,,,,,,
