Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.56255625,8003.2,-14.23,0.00613,None,Quartz,9.03,9.03,41.43,41.43,7.01,304.8,58.16,29.08,1.675,5,24.3221
-200,-1.226,3.56255,7996.5,-14.235,,,,,,,,,,,,,,
0,0,3.5625125,7988.5,-14.242,,,,,,,,,,,,,,
200,1.226,3.56235625,7983.9,-14.244,,,,,,,,,,,,,,
400,2.452,3.56190625,7980.5,-14.26,,,,,,,,,,,,,,
600,3.678,3.56124375,7967,-14.28,,,,,,,,,,,,,,
800,4.904,3.56045,7961.2,-14.297,,,,,,,,,,,,,,
1000,6.13,3.5595625,7955.8,-14.314,,,,,,,,,,,,,,
1200,7.356,3.558609375,7952.3,-14.329,,,,,,,,,,,,,,
1400,8.582,3.557621875,7949.1,-14.346,,,,,,,,,,,,,,
1600,9.808,3.55661875,7943.9,-14.358,,,,,,,,,,,,,,
1800,11.034,3.55555625,7943.9,-14.373,,,,,,,,,,,,,,
2000,12.26,3.55449375,7944.5,-14.384,,,,,,,,,,,,,,
2200,13.486,3.55340625,7947.9,-14.394,,,,,,,,,,,,,,
2400,14.712,3.552309375,7947.9,-14.4,,,,,,,,,,,,,,
2600,15.938,3.55125,7944.6,-14.416,,,,,,,,,,,,,,
2800,17.164,3.550140625,7941,-14.426,,,,,,,,,,,,,,
3000,18.39,3.54899375,7956.8,-14.426,,,,,,,,,,,,,,
3200,19.616,3.547878125,7957.8,-14.431,,,,,,,,,,,,,,
3400,20.842,3.546775,7950.4,-14.445,,,,,,,,,,,,,,
3600,22.068,3.545671875,7951.5,-14.454,,,,,,,,,,,,,,
3800,23.294,3.54453125,7954.7,-14.459,,,,,,,,,,,,,,
4000,24.52,3.54334375,7953.5,-14.466,,,,,,,,,,,,,,
4200,25.746,3.542190625,7947.6,-14.479,,,,,,,,,,,,,,
4400,26.972,3.54100625,7942.4,-14.497,,,,,,,,,,,,,,
4600,28.198,3.53975625,7933.5,-14.514,,,,,,,,,,,,,,
4800,29.424,3.53833125,7928.8,-14.534,,,,,,,,,,,,,,
5000,30.65,3.537378125,7998.4,-14.46,,,,,,,,,,,,,,
