Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Weight in vial (g)
-400,-2.452,3.56254375,7993.4,-14.234,0.00613,Rexolite,Quartz Powder,9.11,9.11,41.21,37.88,7.13,304.8,58.16,29.08,1.675,5,22.34,63.342,39.2309,3.032
-200,-1.226,3.562534375,7993.1,-14.237,,,,,,,,,,,,,,,,,
0,0,3.562490625,7975.5,-14.257,,,,,,,,,,,,,,,,,
200,1.226,3.562353125,7961.5,-14.274,,,,,,,,,,,,,,,,,
400,2.452,3.561975,7937.8,-14.303,,,,,,,,,,,,,,,,,
600,3.678,3.5612875,7902,-14.351,,,,,,,,,,,,,,,,,
800,4.904,3.56039375,7866.3,-14.403,,,,,,,,,,,,,,,,,
1000,6.13,3.559340625,7834.8,-14.452,,,,,,,,,,,,,,,,,
1200,7.356,3.5581625,7799.2,-14.503,,,,,,,,,,,,,,,,,
1400,8.582,3.556925,7769.2,-14.55,,,,,,,,,,,,,,,,,
1600,9.808,3.555621875,7743.3,-14.596,,,,,,,,,,,,,,,,,
1800,11.034,3.554265625,7721.4,-14.646,,,,,,,,,,,,,,,,,
2000,12.26,3.5528625,7696.6,-14.676,,,,,,,,,,,,,,,,,
2200,13.486,3.551428125,7674.7,-14.713,,,,,,,,,,,,,,,,,
2400,14.712,3.54998125,7650,-14.75,,,,,,,,,,,,,,,,,
2600,15.938,3.54851875,7635.2,-14.782,,,,,,,,,,,,,,,,,
2800,17.164,3.54704375,7611.5,-14.818,,,,,,,,,,,,,,,,,
3000,18.39,3.545559375,7592.3,-14.851,,,,,,,,,,,,,,,,,
3200,19.616,3.54405625,7577.8,-14.882,,,,,,,,,,,,,,,,,
3400,20.842,3.54255625,7561.4,-14.909,,,,,,,,,,,,,,,,,
3600,22.068,3.54106875,7545.8,-14.938,,,,,,,,,,,,,,,,,
3800,23.294,3.539559375,7524.9,-14.967,,,,,,,,,,,,,,,,,
4000,24.52,3.538034375,7516,-14.993,,,,,,,,,,,,,,,,,
4200,25.746,3.536490625,7512.2,-15.009,,,,,,,,,,,,,,,,,
4400,26.972,3.534928125,7516.7,-15.015,,,,,,,,,,,,,,,,,
4600,28.198,3.533409375,7513.1,-15.033,,,,,,,,,,,,,,,,,
4800,29.424,3.531853125,7485.6,-15.074,,,,,,,,,,,,,,,,,
5000,30.65,3.52979375,7440.6,-15.143,,,,,,,,,,,,,,,,,
