Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.562540625,7981.4,-14.238,0.00613,None,PET,9,9,35.06,35.06,0,304.8,58.16,29.08,1.675,5,61.8637
-200,-1.226,3.56253125,7976.9,-14.247,,,,,,,,,,,,,,
0,0,3.5624625,7937.3,-14.287,,,,,,,,,,,,,,
200,1.226,3.562265625,7877.3,-14.357,,,,,,,,,,,,,,
400,2.452,3.561759375,7759.2,-14.495,,,,,,,,,,,,,,
600,3.678,3.560884375,7557.8,-14.734,,,,,,,,,,,,,,
800,4.904,3.5597125,7293.1,-15.058,,,,,,,,,,,,,,
1000,6.13,3.55830625,6993.7,-15.442,,,,,,,,,,,,,,
1200,7.356,3.556709375,6673.3,-15.864,,,,,,,,,,,,,,
1400,8.582,3.55498125,6351.9,-16.313,,,,,,,,,,,,,,
1600,9.808,3.55313125,6036.5,-16.776,,,,,,,,,,,,,,
1800,11.034,3.5511875,5726.4,-17.25,,,,,,,,,,,,,,
2000,12.26,3.549196875,5435,-17.722,,,,,,,,,,,,,,
2200,13.486,3.54711875,5163.7,-18.181,,,,,,,,,,,,,,
2400,14.712,3.545003125,4913.8,-18.628,,,,,,,,,,,,,,
2600,15.938,3.542896875,4682.5,-19.065,,,,,,,,,,,,,,
2800,17.164,3.5407375,4464.8,-19.496,,,,,,,,,,,,,,
3000,18.39,3.538571875,4262.9,-19.915,,,,,,,,,,,,,,
3200,19.616,3.53639375,4076.8,-20.311,,,,,,,,,,,,,,
3400,20.842,3.534153125,3906.2,-20.711,,,,,,,,,,,,,,
3600,22.068,3.531925,3746.5,-21.082,,,,,,,,,,,,,,
3800,23.294,3.5296875,3599.6,-21.449,,,,,,,,,,,,,,
4000,24.52,3.52734375,3487.8,-21.739,,,,,,,,,,,,,,
