Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.562521875,7972.1,-14.193,0.00613,None,Acrylic,8.99,8.99,35.03,35.03,0,304.8,58.16,29.08,1.675,5,61.7301
-200,-1.226,3.562515625,7965.1,-14.203,,,,,,,,,,,,,,
0,0,3.56245,7935.1,-14.236,,,,,,,,,,,,,,
200,1.226,3.562228125,7870.1,-14.304,,,,,,,,,,,,,,
400,2.452,3.56170625,7739.3,-14.459,,,,,,,,,,,,,,
600,3.678,3.5608875,7510.2,-14.733,,,,,,,,,,,,,,
800,4.904,3.55985,7208.5,-15.099,,,,,,,,,,,,,,
1000,6.13,3.558640625,6871.8,-15.536,,,,,,,,,,,,,,
1200,7.356,3.557284375,6511.8,-16.024,,,,,,,,,,,,,,
1400,8.582,3.555859375,6158.2,-16.533,,,,,,,,,,,,,,
1600,9.808,3.554340625,5812.4,-17.059,,,,,,,,,,,,,,
1800,11.034,3.552746875,5481.4,-17.595,,,,,,,,,,,,,,
2000,12.26,3.5511375,5174.5,-18.117,,,,,,,,,,,,,,
2200,13.486,3.54946875,4887.6,-18.635,,,,,,,,,,,,,,
2400,14.712,3.547790625,4630.7,-19.134,,,,,,,,,,,,,,
2600,15.938,3.546115625,4395.5,-19.612,,,,,,,,,,,,,,
2800,17.164,3.544378125,4173.6,-20.089,,,,,,,,,,,,,,
3000,18.39,3.5426625,3970.1,-20.54,,,,,,,,,,,,,,
3200,19.616,3.540934375,3785.2,-20.975,,,,,,,,,,,,,,
3400,20.842,3.539184375,3613.5,-21.396,,,,,,,,,,,,,,
3600,22.068,3.53744375,3457.5,-21.795,,,,,,,,,,,,,,
3800,23.294,3.53561875,3311.8,-22.186,,,,,,,,,,,,,,
4000,24.52,3.53389375,2916.5,-23.298,,,,,,,,,,,,,,
