Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.56254375,7951,-14.212,0.00613,None,PVDF,9.01,9.01,35.05,35.05,0,304.8,58.16,29.08,1.675,5,61.9974
-200,-1.226,3.56253125,7929.2,-14.24,,,,,,,,,,,,,,
0,0,3.562465625,7812.9,-14.365,,,,,,,,,,,,,,
200,1.226,3.56225,7504,-14.718,,,,,,,,,,,,,,
400,2.452,3.561725,6798.7,-15.577,,,,,,,,,,,,,,
600,3.678,3.560884375,5786.5,-16.991,,,,,,,,,,,,,,
800,4.904,3.559803125,4791.1,-18.651,,,,,,,,,,,,,,
1000,6.13,3.5585375,3937.7,-20.371,,,,,,,,,,,,,,
1200,7.356,3.557125,3258.7,-22.044,,,,,,,,,,,,,,
1400,8.582,3.555584375,2719.4,-23.639,,,,,,,,,,,,,,
1600,9.808,3.553971875,2307.2,-25.1,,,,,,,,,,,,,,
1800,11.034,3.55226875,1989.2,-26.423,,,,,,,,,,,,,,
2000,12.26,3.550565625,1739.6,-27.606,,,,,,,,,,,,,,
2200,13.486,3.548821875,1532.7,-28.729,,,,,,,,,,,,,,
2400,14.712,3.546996875,1364.8,-29.765,,,,,,,,,,,,,,
2600,15.938,3.545171875,1233.1,-30.692,,,,,,,,,,,,,,
2800,17.164,3.543303125,1122.8,-31.529,,,,,,,,,,,,,,
3000,18.39,3.5415625,1029.4,-32.297,,,,,,,,,,,,,,
3200,19.616,3.539709375,949.01,-33.039,,,,,,,,,,,,,,
3400,20.842,3.537871875,877.48,-33.731,,,,,,,,,,,,,,
3600,22.068,3.535965625,818.44,-34.363,,,,,,,,,,,,,,
3800,23.294,3.534084375,764.21,-34.968,,,,,,,,,,,,,,
4000,24.52,3.532115625,716.36,-35.54,,,,,,,,,,,,,,
