Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.56254375,7982.6,-14.201,0.00613,None,Polyprop,8.98,8.98,35.12,35.12,0,304.8,58.16,29.08,1.675,5,61.5966
-200,-1.226,3.562534375,7982.2,-14.2,,,,,,,,,,,,,,
0,0,3.56248125,7962.9,-14.216,,,,,,,,,,,,,,
200,1.226,3.56230625,7945.8,-14.229,,,,,,,,,,,,,,
400,2.452,3.561878125,7922.6,-14.263,,,,,,,,,,,,,,
600,3.678,3.56121875,7896.5,-14.303,,,,,,,,,,,,,,
800,4.904,3.560403125,7867.9,-14.347,,,,,,,,,,,,,,
1000,6.13,3.55945625,7841.4,-14.388,,,,,,,,,,,,,,
1200,7.356,3.558409375,7818.7,-14.43,,,,,,,,,,,,,,
1400,8.582,3.557315625,7796.8,-14.468,,,,,,,,,,,,,,
1600,9.808,3.556153125,7780.3,-14.504,,,,,,,,,,,,,,
1800,11.034,3.55495,7758.8,-14.542,,,,,,,,,,,,,,
2000,12.26,3.55373125,7741.6,-14.581,,,,,,,,,,,,,,
2200,13.486,3.55246875,7725,-14.619,,,,,,,,,,,,,,
2400,14.712,3.551209375,7712.4,-14.653,,,,,,,,,,,,,,
2600,15.938,3.54995,7695.6,-14.69,,,,,,,,,,,,,,
2800,17.164,3.548646875,7674.9,-14.729,,,,,,,,,,,,,,
3000,18.39,3.54735625,7654.9,-14.767,,,,,,,,,,,,,,
3200,19.616,3.546065625,7640.4,-14.804,,,,,,,,,,,,,,
3400,20.842,3.544771875,7615.7,-14.845,,,,,,,,,,,,,,
3600,22.068,3.543475,7594.8,-14.881,,,,,,,,,,,,,,
3800,23.294,3.542121875,7589.4,-14.906,,,,,,,,,,,,,,
4000,24.52,3.540846875,7335.3,-15.209,,,,,,,,,,,,,,
