Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample_length (mm),Sample OD (mm),Sample Aeff,Aeff
-400,-2.452,4.29678125,6656.6,-10.24,0.00613,Rexolite,Teflon,9,9.32,35,32.1,6.92,304.8,58.16,29.08,1.675,7,26.17,6.79,35.3786,61.0873
-200,-1.226,4.29676875,6656.7,-10.244,,,,,,,,,,,,,,,,,
0,0,4.296715625,6648.7,-10.256,,,,,,,,,,,,,,,,,
200,1.226,4.296534375,6639.8,-10.269,,,,,,,,,,,,,,,,,
400,2.452,4.29606875,6629.6,-10.288,,,,,,,,,,,,,,,,,
600,3.678,4.2952875,6614.1,-10.316,,,,,,,,,,,,,,,,,
800,4.904,4.29431875,6595.1,-10.35,,,,,,,,,,,,,,,,,
1000,6.13,4.2932125,6581.3,-10.383,,,,,,,,,,,,,,,,,
1200,7.356,4.291990625,6566.6,-10.418,,,,,,,,,,,,,,,,,
1400,8.582,4.290696875,6549.1,-10.452,,,,,,,,,,,,,,,,,
1600,9.808,4.28935,6537.4,-10.487,,,,,,,,,,,,,,,,,
1800,11.034,4.287925,6522.8,-10.522,,,,,,,,,,,,,,,,,
2000,12.26,4.286478125,6510.5,-10.556,,,,,,,,,,,,,,,,,
2200,13.486,4.2849875,6495.8,-10.591,,,,,,,,,,,,,,,,,
2400,14.712,4.2834625,6482.4,-10.626,,,,,,,,,,,,,,,,,
2600,15.938,4.281959375,6472.8,-10.656,,,,,,,,,,,,,,,,,
2800,17.164,4.28041875,6460.6,-10.688,,,,,,,,,,,,,,,,,
3000,18.39,4.278859375,6443.6,-10.725,,,,,,,,,,,,,,,,,
3200,19.616,4.277321875,6433.3,-10.755,,,,,,,,,,,,,,,,,
3400,20.842,4.275740625,6422.5,-10.784,,,,,,,,,,,,,,,,,
3600,22.068,4.274171875,6409.1,-10.813,,,,,,,,,,,,,,,,,
3800,23.294,4.27263125,6397,-10.842,,,,,,,,,,,,,,,,,
4000,24.52,4.271040625,6384,-10.875,,,,,,,,,,,,,,,,,
4200,25.746,4.269446875,6366.1,-10.907,,,,,,,,,,,,,,,,,
4400,26.972,4.267809375,6353.7,-10.936,,,,,,,,,,,,,,,,,
4600,28.198,4.266075,6331.4,-10.975,,,,,,,,,,,,,,,,,
4800,29.424,4.264140625,6303.4,-11.021,,,,,,,,,,,,,,,,,
5000,30.65,4.262115625,6271.5,-11.076,,,,,,,,,,,,,,,,,
