Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Weight in vial (g)
-400,-2.452,3.562546875,7985.4,-14.228,0.00613,Rexolite,Quartz Powder,9.08,9.08,41.58,37.88,7.01,304.8,58.16,29.08,1.675,5,23.13,62.9373,37.9432,1.3175
-200,-1.226,3.56253125,7982.3,-14.232,,,,,,,,,,,,,,,,,
0,0,3.56246875,7956,-14.256,,,,,,,,,,,,,,,,,
200,1.226,3.5622625,7941,-14.277,,,,,,,,,,,,,,,,,
400,2.452,3.5617625,7914.1,-14.313,,,,,,,,,,,,,,,,,
600,3.678,3.560990625,7877.4,-14.362,,,,,,,,,,,,,,,,,
800,4.904,3.560040625,7841.3,-14.416,,,,,,,,,,,,,,,,,
1000,6.13,3.558959375,7805.5,-14.467,,,,,,,,,,,,,,,,,
1200,7.356,3.557784375,7774.6,-14.516,,,,,,,,,,,,,,,,,
1400,8.582,3.55654375,7748.2,-14.564,,,,,,,,,,,,,,,,,
1600,9.808,3.555246875,7719.9,-14.611,,,,,,,,,,,,,,,,,
1800,11.034,3.553896875,7693.2,-14.656,,,,,,,,,,,,,,,,,
2000,12.26,3.55250625,7672.9,-14.693,,,,,,,,,,,,,,,,,
2200,13.486,3.551084375,7648.7,-14.735,,,,,,,,,,,,,,,,,
2400,14.712,3.54965,7625.8,-14.777,,,,,,,,,,,,,,,,,
2600,15.938,3.548190625,7602.1,-14.816,,,,,,,,,,,,,,,,,
2800,17.164,3.546703125,7580.4,-14.855,,,,,,,,,,,,,,,,,
3000,18.39,3.54520625,7559.9,-14.893,,,,,,,,,,,,,,,,,
3200,19.616,3.543690625,7536.9,-14.934,,,,,,,,,,,,,,,,,
3400,20.842,3.54215625,7516.8,-14.968,,,,,,,,,,,,,,,,,
3600,22.068,3.540628125,7500.5,-15.001,,,,,,,,,,,,,,,,,
3800,23.294,3.539046875,7481.8,-15.033,,,,,,,,,,,,,,,,,
4000,24.52,3.53745625,7471.7,-15.059,,,,,,,,,,,,,,,,,
4200,25.746,3.535859375,7464.9,-15.077,,,,,,,,,,,,,,,,,
4400,26.972,3.534221875,7467.6,-15.09,,,,,,,,,,,,,,,,,
4600,28.198,3.532615625,7463.3,-15.109,,,,,,,,,,,,,,,,,
4800,29.424,3.530846875,7429.9,-15.158,,,,,,,,,,,,,,,,,
5000,30.65,3.52939375,7519.9,-15.064,,,,,,,,,,,,,,,,,
