Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff
-400,-2.452,5.117271875,5769.6,-9.3341,0.00613,Rexolite,Rexolite,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,9,26.26,6.87,35.8418,60.0727
-200,-1.226,5.117253125,5768.3,-9.341,,,,,,,,,,,,,,,,,
0,0,5.117175,5761.6,-9.3517,,,,,,,,,,,,,,,,,
200,1.226,5.116934375,5753.6,-9.3643,,,,,,,,,,,,,,,,,
400,2.452,5.116309375,5738.4,-9.3876,,,,,,,,,,,,,,,,,
600,3.678,5.11530625,5716.8,-9.4216,,,,,,,,,,,,,,,,,
800,4.904,5.11405,5695.9,-9.467,,,,,,,,,,,,,,,,,
1000,6.13,5.112521875,5667.7,-9.5135,,,,,,,,,,,,,,,,,
1200,7.356,5.1107875,5640.7,-9.5661,,,,,,,,,,,,,,,,,
1400,8.582,5.10890625,5614.7,-9.6164,,,,,,,,,,,,,,,,,
1600,9.808,5.106859375,5591.2,-9.6687,,,,,,,,,,,,,,,,,
1800,11.034,5.1047,5566.4,-9.7151,,,,,,,,,,,,,,,,,
2000,12.26,5.102465625,5543.6,-9.7691,,,,,,,,,,,,,,,,,
2200,13.486,5.10014375,5515.2,-9.8186,,,,,,,,,,,,,,,,,
2400,14.712,5.097865625,5497.6,-9.8826,,,,,,,,,,,,,,,,,
2600,15.938,5.095503125,5478.5,-9.9043,,,,,,,,,,,,,,,,,
2800,17.164,5.093128125,5464.5,-9.9443,,,,,,,,,,,,,,,,,
3000,18.39,5.09075625,5450.3,-9.9871,,,,,,,,,,,,,,,,,
3200,19.616,5.08839375,5433.7,-10.024,,,,,,,,,,,,,,,,,
3400,20.842,5.0860375,5418.6,-10.06,,,,,,,,,,,,,,,,,
3600,22.068,5.083721875,5400,-10.094,,,,,,,,,,,,,,,,,
3800,23.294,5.08135,5385.8,-10.127,,,,,,,,,,,,,,,,,
4000,24.52,5.078990625,5368.5,-10.16,,,,,,,,,,,,,,,,,
4200,25.746,5.07661875,5351.4,-10.194,,,,,,,,,,,,,,,,,
4400,26.972,5.074125,5339.7,-10.234,,,,,,,,,,,,,,,,,
4600,28.198,5.071490625,5313.6,-10.261,,,,,,,,,,,,,,,,,
4800,29.424,5.068378125,5314.1,-10.264,,,,,,,,,,,,,,,,,
5000,30.65,5.065115625,5270.9,-10.335,,,,,,,,,,,,,,,,,
