Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,Comment,DelAeff
-250,-1.5325,2.97426875,9556,-27.166,0.00613,Rexolite,Acetal,9,9,41.52,41.52,0,304.8,58.16,29.08,1.675,3,62.3888,,1.02E-02
0,0,2.974234375,9488.6,-27.219,,,,,,,,,,,,,,,,
250,1.5325,2.97400625,9167.2,-27.531,,,,,,,,,,,,,,,,
500,3.065,2.97333125,8229.7,-28.505,,,,,,,,,,,,,,,,
750,4.5975,2.97226875,6905.8,-30.097,,,,,,,,,,,,,,,,
1000,6.13,2.970928125,5624.2,-31.959,,,,,,,,,,,,,,,,
1250,7.6625,2.96931875,4554.7,-33.905,,,,,,,,,,,,,,,,
1500,9.195,2.9676,3732,-35.723,,,,,,,,,,,,,,,,
1750,10.7275,2.96570625,3115.5,-37.419,,,,,,,,,,,,,,,,
2000,12.26,2.9638,2634.7,-38.951,,,,,,,,,,,,,,,,
2250,13.7925,2.9618,2279.3,-40.373,,,,,,,,,,,,,,,,
2500,15.325,2.959809375,1989.2,-41.642,,,,,,,,,,,,,,,,
2750,16.8575,2.957725,1773.5,-42.812,,,,,,,,,,,,,,,,
3000,18.39,2.955584375,1590.9,-43.861,,,,,,,,,,,,,,,,
3250,19.9225,2.95355,1434.2,-44.801,,,,,,,,,,,,,,,,
3500,21.455,2.951503125,1309.2,-45.754,,,,,,,,,,,,,,,,
3750,22.9875,2.94924375,1203.1,-46.596,,,,,,,,,,,,,,,,
4000,24.52,2.947,1108.1,-47.408,,,,,,,,,,,,,,,,
4250,26.0525,2.944828125,1038,-48.199,,,,,,,,,,,,,,,,
4500,27.585,2.9434,940.26,-49.053,,,,,,,,,,,,,,,,
4750,29.1175,2.939471875,866.72,-49.984,,,,,,,,,,,,,,,,
5000,30.65,2.936125,763.8,-51.1,,,,,,,,,,,,,,,,
