Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,Comment,DelAeff_s,DelAeff_h
-400,-2.452,5.117275,5748.4,-9.2347,0.00613,Rexolite,Acetal,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,9,26.33,6.85,35.6403,60.0727,,1.11E-02,2.89E-02
-200,-1.226,5.117253125,5743.7,-9.2416,,,,,,,,,,,,,,,,,,,,
0,0,5.11714375,5731.5,-9.2601,,,,,,,,,,,,,,,,,,,,
200,1.226,5.11679375,5718,-9.2826,,,,,,,,,,,,,,,,,,,,
400,2.452,5.11601875,5685.4,-9.3406,,,,,,,,,,,,,,,,,,,,
600,3.678,5.11493125,5606.8,-9.4654,,,,,,,,,,,,,,,,,,,,
800,4.904,5.113578125,5449.4,-9.7184,,,,,,,,,,,,,,,,,,,,
1000,6.13,5.111903125,5191.2,-10.152,,,,,,,,,,,,,,,,,,,,
1200,7.356,5.110003125,4854.8,-10.745,,,,,,,,,,,,,,,,,,,,
1400,8.582,5.10789375,4481,-11.456,,,,,,,,,,,,,,,,,,,,
1600,9.808,5.105565625,4101,-12.246,,,,,,,,,,,,,,,,,,,,
1800,11.034,5.10311875,3741.4,-13.067,,,,,,,,,,,,,,,,,,,,
2000,12.26,5.10055625,3411.5,-13.897,,,,,,,,,,,,,,,,,,,,
2200,13.486,5.097896875,3115.1,-14.708,,,,,,,,,,,,,,,,,,,,
2400,14.712,5.095240625,2863.9,-15.466,,,,,,,,,,,,,,,,,,,,
2600,15.938,5.092528125,2641.5,-16.196,,,,,,,,,,,,,,,,,,,,
2800,17.164,5.089753125,2448.8,-16.884,,,,,,,,,,,,,,,,,,,,
3000,18.39,5.087034375,2284.4,-17.511,,,,,,,,,,,,,,,,,,,,
3200,19.616,5.0843375,2142.1,-18.096,,,,,,,,,,,,,,,,,,,,
3400,20.842,5.081628125,2018.6,-18.637,,,,,,,,,,,,,,,,,,,,
3600,22.068,5.078984375,1910.6,-19.13,,,,,,,,,,,,,,,,,,,,
3800,23.294,5.0762625,1811.5,-19.611,,,,,,,,,,,,,,,,,,,,
4000,24.52,5.073553125,1722.5,-20.064,,,,,,,,,,,,,,,,,,,,
4200,25.746,5.0708,1643.1,-20.489,,,,,,,,,,,,,,,,,,,,
4400,26.972,5.067921875,1566.8,-20.909,,,,,,,,,,,,,,,,,,,,
4600,28.198,5.0648125,1495.8,-21.328,,,,,,,,,,,,,,,,,,,,
4800,29.424,5.06104375,1421.9,-21.784,,,,,,,,,,,,,,,,,,,,
5000,30.65,5.05881875,1375.5,-22.087,,,,,,,,,,,,,,,,,,,,
