Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,Comment,DelAeff
-250,-1.5325,5.117253125,5737.4,-9.2618,0.00613,None,Acrylic,8.9,8.9,41.61,41.61,0,304.8,58.16,29.08,1.675,9,58.8183,This one had a variable OD,2.80E-02
0,0,5.117175,5723.3,-9.2808,,,,,,,,,,,,,,,,
250,1.5325,5.116759375,5677.9,-9.3533,,,,,,,,,,,,,,,,
500,3.065,5.115715625,5563.9,-9.5357,,,,,,,,,,,,,,,,
750,4.5975,5.114096875,5370.4,-9.8533,,,,,,,,,,,,,,,,
1000,6.13,5.112034375,5118,-10.281,,,,,,,,,,,,,,,,
1250,7.6625,5.109584375,4832.2,-10.799,,,,,,,,,,,,,,,,
1500,9.195,5.1069375,4543.1,-11.355,,,,,,,,,,,,,,,,
1750,10.7275,5.1040625,4256.6,-11.946,,,,,,,,,,,,,,,,
2000,12.26,5.101078125,3990.6,-12.538,,,,,,,,,,,,,,,,
2250,13.7925,5.098003125,3745,-13.126,,,,,,,,,,,,,,,,
2500,15.325,5.0948875,3526,-13.686,,,,,,,,,,,,,,,,
2750,16.8575,5.0917625,3329.2,-14.221,,,,,,,,,,,,,,,,
3000,18.39,5.088646875,3156,-14.726,,,,,,,,,,,,,,,,
3250,19.9225,5.0855125,2999.7,-15.202,,,,,,,,,,,,,,,,
3500,21.455,5.08234375,2858.8,-15.652,,,,,,,,,,,,,,,,
3750,22.9875,5.07924375,2732,-16.076,,,,,,,,,,,,,,,,
4000,24.52,5.07605625,2611,-16.49,,,,,,,,,,,,,,,,
4250,26.0525,5.072721875,2494,-16.906,,,,,,,,,,,,,,,,
4500,27.585,5.069128125,2375.1,-17.352,,,,,,,,,,,,,,,,
4750,29.1175,5.064884375,2236.3,-17.892,,,,,,,,,,,,,,,,
5000,30.65,5.060865625,2088.5,-18.5,,,,,,,,,,,,,,,,
