Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,Comment,DelAeff_s,DelAeff_h
-400,-2.452,2.974278125,9601.8,-27.099,0.00613,Rexolite,Acrylic,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,3,25.3,6.8,35.9138,62.3888,I am skeptical of the Q measurements for this one,3.66E-03,1.02E-02
-200,-1.226,2.974259375,9603,-27.106,,,,,,,,,,,,,,,,,,,,
0,0,2.9741875,9598.1,-27.113,,,,,,,,,,,,,,,,,,,,
200,1.226,2.973953125,9585.8,-27.134,,,,,,,,,,,,,,,,,,,,
400,2.452,2.973475,9555.9,-27.192,,,,,,,,,,,,,,,,,,,,
600,3.678,2.972815625,9491.1,-27.275,,,,,,,,,,,,,,,,,,,,
800,4.904,2.97201875,9388.3,-27.421,,,,,,,,,,,,,,,,,,,,
1000,6.13,2.97109375,9222.7,-27.628,,,,,,,,,,,,,,,,,,,,
1200,7.356,2.970084375,8972.8,-27.911,,,,,,,,,,,,,,,,,,,,
1400,8.582,2.969003125,8731.6,-28.22,,,,,,,,,,,,,,,,,,,,
1600,9.808,2.967828125,8419.1,-28.595,,,,,,,,,,,,,,,,,,,,
1800,11.034,2.966621875,8107.4,-28.982,,,,,,,,,,,,,,,,,,,,
2000,12.26,2.965365625,7806,-29.386,,,,,,,,,,,,,,,,,,,,
2200,13.486,2.964071875,7506.7,-29.798,,,,,,,,,,,,,,,,,,,,
2400,14.712,2.96279375,7192.6,-30.202,,,,,,,,,,,,,,,,,,,,
2600,15.938,2.961465625,6929.4,-30.609,,,,,,,,,,,,,,,,,,,,
2800,17.164,2.960109375,6667.8,-31.018,,,,,,,,,,,,,,,,,,,,
3000,18.39,2.95875,6400.7,-31.427,,,,,,,,,,,,,,,,,,,,
3200,19.616,2.95738125,6162.9,-31.819,,,,,,,,,,,,,,,,,,,,
3400,20.842,2.9560125,5934.4,-32.198,,,,,,,,,,,,,,,,,,,,
3600,22.068,2.954621875,5746,-32.58,,,,,,,,,,,,,,,,,,,,
3800,23.294,2.95320625,5530.1,-32.969,,,,,,,,,,,,,,,,,,,,
4000,24.52,2.951809375,5342.6,-33.347,,,,,,,,,,,,,,,,,,,,
4200,25.746,2.950384375,5151.8,-33.712,,,,,,,,,,,,,,,,,,,,
4400,26.972,2.948940625,4961.2,-34.093,,,,,,,,,,,,,,,,,,,,
4600,28.198,2.947396875,4780.6,-34.486,,,,,,,,,,,,,,,,,,,,
4800,29.424,2.945621875,4590.4,-34.905,,,,,,,,,,,,,,,,,,,,
5000,30.65,2.944940625,4635.1,-34.872,,,,,,,,,,,,,,,,,,,,
