Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,Comment,DelAeff
-250,-1.5325,2.974275,9593.9,-27.132,0.00613,Rexolite,KelF,9.02,9.02,41.52,41.52,0,304.8,58.16,29.08,1.675,3,62.661,,1.03E-02
0,0,2.974240625,9578.2,-27.147,,,,,,,,,,,,,,,,
250,1.5325,2.9740625,9533.6,-27.207,,,,,,,,,,,,,,,,
500,3.065,2.973534375,9365.9,-27.396,,,,,,,,,,,,,,,,
750,4.5975,2.972715625,9055.4,-27.72,,,,,,,,,,,,,,,,
1000,6.13,2.971703125,8687.7,-28.141,,,,,,,,,,,,,,,,
1250,7.6625,2.970525,8270.6,-28.631,,,,,,,,,,,,,,,,
1500,9.195,2.969271875,7853.8,-29.153,,,,,,,,,,,,,,,,
1750,10.7275,2.967946875,7439.9,-29.693,,,,,,,,,,,,,,,,
2000,12.26,2.9665625,7058.6,-30.247,,,,,,,,,,,,,,,,
2250,13.7925,2.965215625,6697.7,-30.739,,,,,,,,,,,,,,,,
2500,15.325,2.96375,6355.6,-31.284,,,,,,,,,,,,,,,,
2750,16.8575,2.962290625,6058.6,-31.791,,,,,,,,,,,,,,,,
3000,18.39,2.96080625,5737.6,-32.308,,,,,,,,,,,,,,,,
3250,19.9225,2.95931875,5474.1,-32.8,,,,,,,,,,,,,,,,
3500,21.455,2.957815625,5240.3,-33.289,,,,,,,,,,,,,,,,
3750,22.9875,2.956303125,4992.2,-33.761,,,,,,,,,,,,,,,,
4000,24.52,2.954775,4770.1,-34.225,,,,,,,,,,,,,,,,
4250,26.0525,2.9532,4535,-34.725,,,,,,,,,,,,,,,,
4500,27.585,2.9515,4298.7,-35.255,,,,,,,,,,,,,,,,
4750,29.1175,2.94659375,4048.5,-35.864,,,,,,,,,,,,,,,,
5000,30.65,2.947609375,3756.7,-36.607,,,,,,,,,,,,,,,,
