Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,2.974278125,9593.2,-27.102,0.00613,None,KelF,9.01,9.01,34.88,34.88,0,304.8,58.16,29.08,1.675,3,62.5248
-200,-1.226,2.97426875,9560.5,-27.11,,,,,,,,,,,,,,
0,0,2.974203125,9548.2,-27.127,,,,,,,,,,,,,,
200,1.226,2.974003125,9498.1,-27.198,,,,,,,,,,,,,,
400,2.452,2.973565625,9359.6,-27.357,,,,,,,,,,,,,,
600,3.678,2.972959375,9142,-27.597,,,,,,,,,,,,,,
800,4.904,2.97219375,8852.3,-27.907,,,,,,,,,,,,,,
1000,6.13,2.971328125,8521.9,-28.271,,,,,,,,,,,,,,
1200,7.356,2.97036875,8204,-28.666,,,,,,,,,,,,,,
1400,8.582,2.96935,7848,-29.089,,,,,,,,,,,,,,
1600,9.808,2.968321875,7527.8,-20.508,,,,,,,,,,,,,,
1800,11.034,2.967234375,7211.4,-29.956,,,,,,,,,,,,,,
2000,12.26,2.96611875,6903.8,-30.387,,,,,,,,,,,,,,
2200,13.486,2.964990625,6600.8,-30.828,,,,,,,,,,,,,,
2400,14.712,2.96385,6304.9,-31.263,,,,,,,,,,,,,,
2600,15.938,2.96269375,6064.9,-31.691,,,,,,,,,,,,,,
2800,17.164,2.9615375,5814.9,-32.12,,,,,,,,,,,,,,
3000,18.39,2.96034375,5573.8,-32.539,,,,,,,,,,,,,,
3200,19.616,2.9591625,5332.6,-32.984,,,,,,,,,,,,,,
3400,20.842,2.9579875,5104.4,-33.421,,,,,,,,,,,,,,
3600,22.068,2.956796875,4883.1,-33.883,,,,,,,,,,,,,,
3800,23.294,2.955615625,4645.7,-34.357,,,,,,,,,,,,,,
4000,24.52,2.95436875,4431.5,-34.821,,,,,,,,,,,,,,
