Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,Comment,DelAeff_s,DelAeff_h
-400,-2.452,3.562540625,7977.4,-14.234,0.00613,Rexolite,KelF,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,5,26.4,6.88,36.5717,61.6837,,4.96E-03,1.28E-02
-200,-1.226,3.562534375,7979.7,-14.237,,,,,,,,,,,,,,,,,,,,
0,0,3.562484375,7958.8,-14.252,,,,,,,,,,,,,,,,,,,,
200,1.226,3.562334375,7937.9,-14.281,,,,,,,,,,,,,,,,,,,,
400,2.452,3.56193125,7910.8,-14.319,,,,,,,,,,,,,,,,,,,,
600,3.678,3.561265625,7862.2,-14.38,,,,,,,,,,,,,,,,,,,,
800,4.904,3.560434375,7791.2,-14.47,,,,,,,,,,,,,,,,,,,,
1000,6.13,3.559453125,7682.7,-14.602,,,,,,,,,,,,,,,,,,,,
1200,7.356,3.5583625,7541,-14.77,,,,,,,,,,,,,,,,,,,,
1400,8.582,3.55718125,7387.7,-14.965,,,,,,,,,,,,,,,,,,,,
1600,9.808,3.555921875,7212.3,-15.185,,,,,,,,,,,,,,,,,,,,
1800,11.034,3.554596875,7033.4,-15.417,,,,,,,,,,,,,,,,,,,,
2000,12.26,3.553215625,6855.1,-15.65,,,,,,,,,,,,,,,,,,,,
2200,13.486,3.551815625,6666.6,-15.898,,,,,,,,,,,,,,,,,,,,
2400,14.712,3.55040625,6495.4,-16.144,,,,,,,,,,,,,,,,,,,,
2600,15.938,3.54895,6325.4,-16.391,,,,,,,,,,,,,,,,,,,,
2800,17.164,3.54748125,6155.2,-16.634,,,,,,,,,,,,,,,,,,,,
3000,18.39,3.545990625,6003.8,-16.869,,,,,,,,,,,,,,,,,,,,
3200,19.616,3.5445,5852.7,-17.109,,,,,,,,,,,,,,,,,,,,
3400,20.842,3.543003125,5709.1,-17.344,,,,,,,,,,,,,,,,,,,,
3600,22.068,3.5415125,5569.3,-17.573,,,,,,,,,,,,,,,,,,,,
3800,23.294,3.539990625,5439,-17.801,,,,,,,,,,,,,,,,,,,,
4000,24.52,3.538453125,5305.7,-18.028,,,,,,,,,,,,,,,,,,,,
4200,25.746,3.536925,5181.2,-18.258,,,,,,,,,,,,,,,,,,,,
4400,26.972,3.5353375,5053.6,-18.485,,,,,,,,,,,,,,,,,,,,
4600,28.198,3.53368125,4931,-18.718,,,,,,,,,,,,,,,,,,,,
4800,29.424,3.531775,4805.2,-18.968,,,,,,,,,,,,,,,,,,,,
5000,30.65,3.52971875,4682.8,-19.222,,,,,,,,,,,,,,,,,,,,
