Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),,DelAeff_h,DelAeff_s
-250,-1.5325,2.762225,10084,-40.229,0.00613,Rexolite,10084.25,9.09,9.09,35.02,32.55,7.06,304.8,58.16,29.08,1.675,2,22.66285714,5.73E+01,3.48E+01,1719.1,,1.06E-02,4.32E-03
0,0,2.762221875,10058,-40.219,,,,,,,,,,,,,,,,,,,,
250,1.5325,2.762225,10012,-40.205,,,,,,,,,,,,,,,,,,,,
500,3.065,2.762215625,10101,-40.221,,,,,,,,,,,,,,,,,,,,
750,4.5975,2.762215625,10045,-40.234,,,,,,,,,,,,,,,,,,,,
1000,6.13,2.76221875,10051,-40.276,,,,,,,,,,,,,,,,,,,,
1250,7.6625,2.76220625,9959.9,-40.316,,,,,,,,,,,,,,,,,,,,
1500,9.195,2.7622,9980.8,-40.34,,,,,,,,,,,,,,,,,,,,
1750,10.7275,2.762196875,9841.8,-40.403,,,,,,,,,,,,,,,,,,,,
2000,12.26,2.762184375,9763.5,-40.451,,,,,,,,,,,,,,,,,,,,
2250,13.7925,2.762175,9716.8,-40.499,,,,,,,,,,,,,,,,,,,,
2500,15.325,2.7621625,9657.9,-40.553,,,,,,,,,,,,,,,,,,,,
2750,16.8575,2.76216875,9681.7,-40.616,,,,,,,,,,,,,,,,,,,,
3000,18.39,2.762153125,9597.5,-40.65,,,,,,,,,,,,,,,,,,,,
3250,19.9225,2.76215,9543,-40.702,,,,,,,,,,,,,,,,,,,,
3500,21.455,2.76214375,9438,-40.752,,,,,,,,,,,,,,,,,,,,
3750,22.9875,2.76213125,9399.7,-40.795,,,,,,,,,,,,,,,,,,,,
4000,24.52,2.762134375,9429.7,-40.846,,,,,,,,,,,,,,,,,,,,
4250,26.0525,2.762121875,9303.8,-40.9,,,,,,,,,,,,,,,,,,,,
4500,27.585,2.7621125,9296.7,-40.935,,,,,,,,,,,,,,,,,,,,
4750,29.1175,2.76210625,9207.5,-40.975,,,,,,,,,,,,,,,,,,,,
5000,30.65,2.762103125,9202.4,-41.007,,,,,,,,,,,,,,,,,,,,
