Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg)
-250,-1.5325,2.974284375,9587.6,-27.099,0.00613,Rexolite,10084.53,9.04,9.04,34.92,32.58,7.11,304.8,58.16,29.08,1.675,3,21.54166667,62.9337,39.2222,1593.7
0,0,2.9742625,9594.3,-27.105,,,,,,,,,,,,,,,,,
250,1.5325,2.9741375,9579.3,-27.123,,,,,,,,,,,,,,,,,
500,3.065,2.973696875,9537.5,-27.186,,,,,,,,,,,,,,,,,
750,4.5975,2.972834375,9382.6,-27.369,,,,,,,,,,,,,,,,,
1000,6.13,2.97158125,9071.8,-27.735,,,,,,,,,,,,,,,,,
1250,7.6625,2.96995625,8565.6,-28.336,,,,,,,,,,,,,,,,,
1500,9.195,2.9680875,7915.7,-29.107,,,,,,,,,,,,,,,,,
1750,10.7275,2.96598125,7240.1,-29.999,,,,,,,,,,,,,,,,,
2000,12.26,2.963696875,6587.5,-30.95,,,,,,,,,,,,,,,,,
2250,13.7925,2.96128125,5974.8,-31.916,,,,,,,,,,,,,,,,,
2500,15.325,2.958784375,5433.2,-32.857,,,,,,,,,,,,,,,,,
2750,16.8575,2.956209375,4961.3,-33.787,,,,,,,,,,,,,,,,,
3000,18.39,2.953621875,4533.2,-34.661,,,,,,,,,,,,,,,,,
3250,19.9225,2.951009375,4189.6,-35.474,,,,,,,,,,,,,,,,,
3500,21.455,2.948371875,3921.3,-36.185,,,,,,,,,,,,,,,,,
3750,22.9875,2.94604375,3684.8,-36.806,,,,,,,,,,,,,,,,,
4000,24.52,2.94378125,3497.5,-37.323,,,,,,,,,,,,,,,,,
4250,26.0525,2.9419,3403.3,-37.652,,,,,,,,,,,,,,,,,
4500,27.585,2.940390625,3351.1,-37.907,,,,,,,,,,,,,,,,,
4750,29.1175,2.938915625,3271,-38.15,,,,,,,,,,,,,,,,,
5000,30.65,2.936659375,3114.3,-38.651,,,,,,,,,,,,,,,,,
