Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),,Removed Data,,,,
-250,-1.5325,5.117265625,5754.1,-9.3242,0.00613,Rexolite,10084.25,9.06,9.06,34.93,32.65,7,304.8,58.16,29.08,1.675,9,24.333,60.8305,37.1637,1423.4,,3250,19.9225,5.0880075,4137.9,-12.446
0,0,5.117225,5738.4,-9.3393,,,,,,,,,,,,,,,,,,,,,,,
250,1.5325,5.117015625,5720.6,-9.3696,,,,,,,,,,,,,,,,,,,,,,,
500,3.065,5.116284375,5682.6,-9.4299,,,,,,,,,,,,,,,,,,,,,,,
750,4.5975,5.1148375,5613.3,-9.5437,,,,,,,,,,,,,,,,,,,,,,,
1000,6.13,5.11275,5508.3,-9.7215,,,,,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.11006875,5371,-9.9607,,,,,,,,,,,,,,,,,,,,,,,
1500,9.195,5.106965625,5205.7,-10.254,,,,,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.1035125,5030.4,-10.577,,,,,,,,,,,,,,,,,,,,,,,
2000,12.26,5.099790625,4856,-10.912,,,,,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.095890625,4686,-11.254,,,,,,,,,,,,,,,,,,,,,,,
2500,15.325,5.09194375,4524.1,-11.59,,,,,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.0879625,4379.4,-11.904,,,,,,,,,,,,,,,,,,,,,,,
3000,18.39,5.08398125,4252.1,-12.188,,,,,,,,,,,,,,,,,,,,,,,
3500,21.455,5.076290625,4038,-12.673,,,,,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.07261875,3955.4,-12.863,,,,,,,,,,,,,,,,,,,,,,,
4000,24.52,5.069059375,3886,-13.027,,,,,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.065740625,3835.9,-13.149,,,,,,,,,,,,,,,,,,,,,,,
4500,27.585,5.0628375,3799.6,-13.24,,,,,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.060059375,3760.2,-13.344,,,,,,,,,,,,,,,,,,,,,,,
5000,30.65,5.0558,3660.4,-13.594,,,,,,,,,,,,,,,,,,,,,,,
