Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_s,DelAeff_h,Removed Data,,,,
-250,-1.5325,5.117265625,5749.8,-9.2964,0.00613,Rexolite,"14163.774, Apollo 14, Submature Mafic Highland",9.06,9.06,34.93,32.65,7,304.8,58.16,29.08,1.675,9,24.333,60.8305,37.1637,1423.4,1.20E-02,3.00E-02,3250,19.9225,5.0880075,4137.9,-12.446
0,0,5.117215625,5746.7,-9.3319,,,,,,,,,,,,,,,,,,,,,,,,
250,1.5325,5.117,5734.5,-9.3551,,,,,,,,,,,,,,,,,,,,,,,,
500,3.065,5.116225,5703.8,-9.405,,,,,,,,,,,,,,,,,,,,,,,,
750,4.5975,5.11474375,5640.4,-9.509,,,,,,,,,,,,,,,,,,,,,,,,
1000,6.13,5.11263125,5541.4,-9.6696,,,,,,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.109903125,5406.9,-9.9041,,,,,,,,,,,,,,,,,,,,,,,,
1500,9.195,5.106759375,5249.8,-10.177,,,,,,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.1032375,5075.6,-10.5,,,,,,,,,,,,,,,,,,,,,,,,
2000,12.26,5.0995,4897.7,-10.835,,,,,,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.09560625,4725.1,-11.175,,,,,,,,,,,,,,,,,,,,,,,,
2500,15.325,5.0916875,4571.5,-11.495,,,,,,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.08784375,4434,-11.784,,,,,,,,,,,,,,,,,,,,,,,,
3000,18.39,5.084115625,4308,-12.064,,,,,,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.08049375,4196,-12.309,,,,,,,,,,,,,,,,,,,,,,,,
3500,21.455,5.07691875,4101.2,-12.528,,,,,,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.073503125,4017.9,-12.723,,,,,,,,,,,,,,,,,,,,,,,,
4000,24.52,5.0701125,3943.4,-12.897,,,,,,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.066875,3879.9,-13.047,,,,,,,,,,,,,,,,,,,,,,,,
4500,27.585,5.06385625,3826,-13.171,,,,,,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.060821875,3774.4,-13.303,,,,,,,,,,,,,,,,,,,,,,,,
5000,30.65,5.056365625,3668.2,-13.568,,,,,,,,,,,,,,,,,,,,,,,,
