Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,2.76221875,10111,-40.234,0.00613,Rexolite,63501.5,9.1,9.1,34.89,32.67,6.92,304.8,58.16,29.08,1.675,2,24.531,5.74E+01,3.35E+01,1528.9,1.07E-02,3.92E-03
0,0,2.762221875,10102,-40.199,,,,,,,,,,,,,,,,,,,
250,1.5325,2.762228125,10084,-40.205,,,,,,,,,,,,,,,,,,,
500,3.065,2.762221875,10102,-40.206,,,,,,,,,,,,,,,,,,,
750,4.5975,2.76220625,10103,-40.221,,,,,,,,,,,,,,,,,,,
1000,6.13,2.762209375,10109,-40.226,,,,,,,,,,,,,,,,,,,
1250,7.6625,2.762203125,10123,-40.205,,,,,,,,,,,,,,,,,,,
1500,9.195,2.76219375,10029,-40.265,,,,,,,,,,,,,,,,,,,
1750,10.7275,2.762190625,10039,-40.257,,,,,,,,,,,,,,,,,,,
2000,12.26,2.762184375,9950,-40.283,,,,,,,,,,,,,,,,,,,
2250,13.7925,2.762171875,10000,-40.297,,,,,,,,,,,,,,,,,,,
2500,15.325,2.762171875,9979.2,-40.279,,,,,,,,,,,,,,,,,,,
2750,16.8575,2.76216875,9978.9,-40.338,,,,,,,,,,,,,,,,,,,
3000,18.39,2.762153125,10026,-40.35,,,,,,,,,,,,,,,,,,,
3250,19.9225,2.762146875,9993.4,-40.377,,,,,,,,,,,,,,,,,,,
3500,21.455,2.76215625,9980.4,-40.378,,,,,,,,,,,,,,,,,,,
3750,22.9875,2.76214375,9972.5,-40.367,,,,,,,,,,,,,,,,,,,
4000,24.52,2.7621375,9931.4,-40.419,,,,,,,,,,,,,,,,,,,
4250,26.0525,2.762125,9890.3,-40.412,,,,,,,,,,,,,,,,,,,
4500,27.585,2.762121875,9955.8,-40.425,,,,,,,,,,,,,,,,,,,
4750,29.1175,2.762115625,9859.2,-40.44,,,,,,,,,,,,,,,,,,,
5000,30.65,2.76210625,9816.9,-40.444,,,,,,,,,,,,,,,,,,,
