Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg)
-250,-1.5325,2.974271875,9597.2,-27.09,0.00613,Rexolite,67601.6,9.08,9.08,34.98,32.78,7.04,304.8,58.16,29.08,1.675,3,24.262,63.4809,38.4629,1517.9
0,0,2.974240625,9574.2,-27.101,,,,,,,,,,,,,,,,,
250,1.5325,2.974078125,9577.6,-27.115,,,,,,,,,,,,,,,,,
500,3.065,2.97356875,9546.6,-27.17,,,,,,,,,,,,,,,,,
750,4.5975,2.972646875,9483.6,-27.274,,,,,,,,,,,,,,,,,
1000,6.13,2.97138125,9399.4,-27.438,,,,,,,,,,,,,,,,,
1250,7.6625,2.969790625,9236.4,-27.662,,,,,,,,,,,,,,,,,
1500,9.195,2.968021875,9070.2,-27.924,,,,,,,,,,,,,,,,,
1750,10.7275,2.9660625,8869.3,-28.222,,,,,,,,,,,,,,,,,
2000,12.26,2.963984375,8637.3,-28.557,,,,,,,,,,,,,,,,,
2250,13.7925,2.96179375,8419.8,-28.897,,,,,,,,,,,,,,,,,
2500,15.325,2.95956875,8182.2,-29.245,,,,,,,,,,,,,,,,,
2750,16.8575,2.957284375,7968,-29.596,,,,,,,,,,,,,,,,,
3000,18.39,2.95495625,7743.1,-29.952,,,,,,,,,,,,,,,,,
3250,19.9225,2.952615625,7545.8,-30.284,,,,,,,,,,,,,,,,,
3500,21.455,2.9503,7341.2,-30.622,,,,,,,,,,,,,,,,,
3750,22.9875,2.948028125,7182.3,-30.915,,,,,,,,,,,,,,,,,
4000,24.52,2.9457375,7017.4,-31.201,,,,,,,,,,,,,,,,,
4250,26.0525,2.94366875,6880.1,-31.448,,,,,,,,,,,,,,,,,
4500,27.585,2.941934375,6796.5,-31.656,,,,,,,,,,,,,,,,,
4750,29.1175,2.94031875,6647.2,-31.904,,,,,,,,,,,,,,,,,
5000,30.65,2.937821875,6320.6,-32.429,,,,,,,,,,,,,,,,,
