Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,4.696521875,6058.4,-9.7249,0.00613,Rexolite,67601.6,9.08,9.08,34.98,32.78,7.04,304.8,58.16,29.08,1.675,8,24.262,5.54E+01,3.39E+01,1517.9,1.06E-02,4.19E-03
0,0,4.69651875,6061.3,-9.7215,,,,,,,,,,,,,,,,,,,
250,1.5325,4.6964875,6065.7,-9.7214,,,,,,,,,,,,,,,,,,,
500,3.065,4.69640625,6061.6,-9.7208,,,,,,,,,,,,,,,,,,,
750,4.5975,4.696296875,6062.5,-9.7203,,,,,,,,,,,,,,,,,,,
1000,6.13,4.696178125,6059.5,-9.7264,,,,,,,,,,,,,,,,,,,
1250,7.6625,4.696034375,6051.9,-9.7336,,,,,,,,,,,,,,,,,,,
1500,9.195,4.6959,6039.4,-9.7507,,,,,,,,,,,,,,,,,,,
1750,10.7275,4.695753125,6023.4,-9.7753,,,,,,,,,,,,,,,,,,,
2000,12.26,4.695821875,6010.5,-9.7953,,,,,,,,,,,,,,,,,,,
2250,13.7925,4.695478125,5988.5,-9.8248,,,,,,,,,,,,,,,,,,,
2500,15.325,4.695328125,5969.8,-9.8536,,,,,,,,,,,,,,,,,,,
2750,16.8575,4.695209375,5947.5,-9.8755,,,,,,,,,,,,,,,,,,,
3000,18.39,4.69508125,5927.4,-9.9055,,,,,,,,,,,,,,,,,,,
3250,19.9225,4.6949625,5908.2,-9.9363,,,,,,,,,,,,,,,,,,,
3500,21.455,4.694796875,5883.6,-9.9734,,,,,,,,,,,,,,,,,,,
3750,22.9875,4.694675,5862.5,-10.01,,,,,,,,,,,,,,,,,,,
4000,24.52,4.6946,5836.6,-10.05,,,,,,,,,,,,,,,,,,,
4250,26.0525,4.69449375,5808.6,-10.094,,,,,,,,,,,,,,,,,,,
4500,27.585,4.694396875,5770.9,-10.15,,,,,,,,,,,,,,,,,,,
4750,29.1175,4.694325,5728.5,-10.217,,,,,,,,,,,,,,,,,,,
5000,30.65,4.694259375,5655.5,-10.33,,,,,,,,,,,,,,,,,,,
