Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,Comment,DelAeff_s,DelAeff_h
-400,-2.452,5.117271875,5747.1,-9.2379,0.00613,Rexolite,PET,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,9,26.09,6.84,35.5397,60.0727,,1.11E-02,2.89E-02
-200,-1.226,5.11724375,5742.9,-9.2456,,,,,,,,,,,,,,,,,,,,
0,0,5.117134375,5731,-9.2617,,,,,,,,,,,,,,,,,,,,
200,1.226,5.11679375,5719.8,-9.2811,,,,,,,,,,,,,,,,,,,,
400,2.452,5.1160375,5697,-9.3227,,,,,,,,,,,,,,,,,,,,
600,3.678,5.1149125,5651.7,-9.3946,,,,,,,,,,,,,,,,,,,,
800,4.904,5.113496875,5583.4,-9.5055,,,,,,,,,,,,,,,,,,,,
1000,6.13,5.111728125,5493.3,-9.6608,,,,,,,,,,,,,,,,,,,,
1200,7.356,5.1097125,5375.5,-9.8609,,,,,,,,,,,,,,,,,,,,
1400,8.582,5.1074875,5244.1,-10.09,,,,,,,,,,,,,,,,,,,,
1600,9.808,5.105,5097.5,-10.357,,,,,,,,,,,,,,,,,,,,
1800,11.034,5.102403125,4948.5,-10.64,,,,,,,,,,,,,,,,,,,,
2000,12.26,5.09968125,4797,-10.932,,,,,,,,,,,,,,,,,,,,
2200,13.486,5.096878125,4649.2,-11.233,,,,,,,,,,,,,,,,,,,,
2400,14.712,5.0940625,4512.4,-11.518,,,,,,,,,,,,,,,,,,,,
2600,15.938,5.09116875,4380.5,-11.809,,,,,,,,,,,,,,,,,,,,
2800,17.164,5.088290625,4252.6,-12.096,,,,,,,,,,,,,,,,,,,,
3000,18.39,5.085415625,4135,-12.366,,,,,,,,,,,,,,,,,,,,
3200,19.616,5.08253125,4026.8,-12.622,,,,,,,,,,,,,,,,,,,,
3400,20.842,5.079678125,3929.9,-12.859,,,,,,,,,,,,,,,,,,,,
3600,22.068,5.076846875,3834.2,-13.092,,,,,,,,,,,,,,,,,,,,
3800,23.294,5.07401875,3744.3,-13.316,,,,,,,,,,,,,,,,,,,,
4000,24.52,5.071184375,3659.1,-13.526,,,,,,,,,,,,,,,,,,,,
4200,25.746,5.06828125,3584.6,-13.723,,,,,,,,,,,,,,,,,,,,
4400,26.972,5.065315625,3509,-13.918,,,,,,,,,,,,,,,,,,,,
4600,28.198,5.0620875,3436.1,-14.111,,,,,,,,,,,,,,,,,,,,
4800,29.424,5.05816875,3358.1,-14.325,,,,,,,,,,,,,,,,,,,,
5000,30.65,5.05583125,3235,-14.654,,,,,,,,,,,,,,,,,,,,
