Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,Comment,DelAeff
-250,-1.5325,3.562528125,7924.4,-14.332,0.00613,Rexolite,PVDF,9.01,9.02,41.54,41.54,0,304.8,58.16,29.08,1.675,5,61.9974,,1.29E-02
0,0,3.562478125,7842.4,-14.421,,,,,,,,,,,,,,,,
250,1.5325,3.56220625,7433.5,-14.885,,,,,,,,,,,,,,,,
500,3.065,3.561453125,6430.2,-16.154,,,,,,,,,,,,,,,,
750,4.5975,3.5602625,5150.4,-18.092,,,,,,,,,,,,,,,,
1000,6.13,3.558753125,4036.5,-20.213,,,,,,,,,,,,,,,,
1250,7.6625,3.55698125,3172,-22.319,,,,,,,,,,,,,,,,
1500,9.195,3.555075,2551,-24.21,,,,,,,,,,,,,,,,
1750,10.7275,3.55301875,2098.8,-25.928,,,,,,,,,,,,,,,,
2000,12.26,3.550909375,1764.6,-27.433,,,,,,,,,,,,,,,,
2250,13.7925,3.548684375,1509.9,-28.794,,,,,,,,,,,,,,,,
2500,15.325,3.5464125,1311.7,-30.02,,,,,,,,,,,,,,,,
2750,16.8575,3.54415625,1157.9,-31.098,,,,,,,,,,,,,,,,
3000,18.39,3.541959375,1037.3,-32.066,,,,,,,,,,,,,,,,
3250,19.9225,3.53965,938.09,-32.957,,,,,,,,,,,,,,,,
3500,21.455,3.53730625,857.47,-33.774,,,,,,,,,,,,,,,,
3750,22.9875,3.53495,783.88,-34.562,,,,,,,,,,,,,,,,
4000,24.52,3.53258125,720.9,-35.285,,,,,,,,,,,,,,,,
4250,26.0525,3.52998125,667.66,-36.002,,,,,,,,,,,,,,,,
4500,27.585,3.52739375,614.49,-36.743,,,,,,,,,,,,,,,,
4750,29.1175,3.524403125,562.81,-37.554,,,,,,,,,,,,,,,,
5000,30.65,3.52083125,500.36,-38.629,,,,,,,,,,,,,,,,
