Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,Comment,DelAeff_s,DelAeff_h
-400,-2.452,5.117274,5749.9,-9.234,0.00613,Rexolite,PVDF,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,9,26.06,6.88,35.9427,60.0727,,1.11E-02,2.89E-02
-200,-1.226,5.117253125,5744.8,-9.2421,,,,,,,,,,,,,,,,,,,,
0,0,5.117140625,5731.5,-9.2605,,,,,,,,,,,,,,,,,,,,
200,1.226,5.11680625,5711.9,-9.2925,,,,,,,,,,,,,,,,,,,,
400,2.452,5.116065625,5662.9,-9.3712,,,,,,,,,,,,,,,,,,,,
600,3.678,5.114990625,5549.8,-9.5537,,,,,,,,,,,,,,,,,,,,
800,4.904,5.113653125,5310.2,-9.9457,,,,,,,,,,,,,,,,,,,,
1000,6.13,5.1120375,4919.8,-10.621,,,,,,,,,,,,,,,,,,,,
1200,7.356,5.1102,4441.9,-11.521,,,,,,,,,,,,,,,,,,,,
1400,8.582,5.108175,3950.7,-12.554,,,,,,,,,,,,,,,,,,,,
1600,9.808,5.10595,3480.9,-13.67,,,,,,,,,,,,,,,,,,,,
1800,11.034,5.103625,3074.4,-14.774,,,,,,,,,,,,,,,,,,,,
2000,12.26,5.10118125,2722.4,-15.853,,,,,,,,,,,,,,,,,,,,
2200,13.486,5.098678125,2425,-16.877,,,,,,,,,,,,,,,,,,,,
2400,14.712,5.096203125,2185.3,-17.806,,,,,,,,,,,,,,,,,,,,
2600,15.938,5.0936,1980.5,-18.686,,,,,,,,,,,,,,,,,,,,
2800,17.164,5.09100625,1807.6,-19.506,,,,,,,,,,,,,,,,,,,,
3000,18.39,5.088446875,1663.3,-20.247,,,,,,,,,,,,,,,,,,,,
3200,19.616,5.085886563,1542,-20.934,,,,,,,,,,,,,,,,,,,,
3400,20.842,5.083303125,1439,-21.556,,,,,,,,,,,,,,,,,,,,
3600,22.068,5.080790625,1349.8,-22.128,,,,,,,,,,,,,,,,,,,,
3800,23.294,5.078225,1269.3,-22.677,,,,,,,,,,,,,,,,,,,,
4000,24.52,5.075609375,1199.6,-23.183,,,,,,,,,,,,,,,,,,,,
4200,25.746,5.0730625,1136.7,-23.665,,,,,,,,,,,,,,,,,,,,
4400,26.972,5.07029375,1079.4,-24.133,,,,,,,,,,,,,,,,,,,,
4600,28.198,5.06744375,1023.8,-24.6,,,,,,,,,,,,,,,,,,,,
4800,29.424,5.063846875,967.76,-25.111,,,,,,,,,,,,,,,,,,,,
5000,30.65,5.0618,935.33,-24.405,,,,,,,,,,,,,,,,,,,,
