Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,Comment
-250,-1.5325,5.117271875,5746.4,-9.2484,0.00613,None,Polyprop,9.01,9.01,41.01,41.01,0,304.8,58.16,29.08,1.675,9,60.1987,
0,0,5.117215625,5742,-9.2538,,,,,,,,,,,,,,,
250,1.5325,5.11690625,5736.3,-9.2661,,,,,,,,,,,,,,,
500,3.065,5.116046875,5719.7,-9.2911,,,,,,,,,,,,,,,
750,4.5975,5.114740625,5704.6,-9.3228,,,,,,,,,,,,,,,
1000,6.13,5.113084375,5687.4,-9.3577,,,,,,,,,,,,,,,
1250,7.6625,5.11119375,5671,-9.3955,,,,,,,,,,,,,,,
1500,9.195,5.1091625,5654.3,-9.4337,,,,,,,,,,,,,,,
1750,10.7275,5.106965625,5643.1,-9.4695,,,,,,,,,,,,,,,
2000,12.26,5.104684375,5631,-9.5084,,,,,,,,,,,,,,,
2250,13.7925,5.10234375,5621.1,-9.554,,,,,,,,,,,,,,,
2500,15.325,5.100046875,5612.7,-9.5808,,,,,,,,,,,,,,,
2750,16.8575,5.09765625,5606.8,-9.615,,,,,,,,,,,,,,,
3000,18.39,5.095275,5602.2,-9.6486,,,,,,,,,,,,,,,
3250,19.9225,5.092925,5595.3,-9.6885,,,,,,,,,,,,,,,
3500,21.455,5.090609375,5589.1,-9.7249,,,,,,,,,,,,,,,
3750,22.9875,5.088234375,5579.1,-9.7679,,,,,,,,,,,,,,,
4000,24.52,5.0858125,5569.9,-9.808,,,,,,,,,,,,,,,
4250,26.0525,5.083371875,5553.1,-9.8588,,,,,,,,,,,,,,,
4500,27.585,5.080759375,5536.9,-9.9095,,,,,,,,,,,,,,,
4750,29.1175,5.077734375,5519.5,-9.9593,,,,,,,,,,,,,,,
5000,30.65,5.074546875,5545.3,-9.943,,,,,,,,,,,,,,,
