Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Weight in vial (g)
-400,-2.452,4.29678125,6663.8,-10.256,0.00613,Rexolite,Quartz Powder,9.08,9.08,41.58,37.88,7.01,304.8,58.16,29.08,1.675,7,23.13,62.1337,37.6511,1.3175
-200,-1.226,4.29676875,6658.4,-10.263,,,,,,,,,,,,,,,,,
0,0,4.2966875,6646.9,-10.276,,,,,,,,,,,,,,,,,
200,1.226,4.296440625,6638.8,-10.291,,,,,,,,,,,,,,,,,
400,2.452,4.29585,6622.7,-10.316,,,,,,,,,,,,,,,,,
600,3.678,4.29493125,6602.8,-10.355,,,,,,,,,,,,,,,,,
800,4.904,4.293784375,6583.5,-10.394,,,,,,,,,,,,,,,,,
1000,6.13,4.2924625,6560.4,-10.435,,,,,,,,,,,,,,,,,
1200,7.356,4.291025,6542.8,-10.474,,,,,,,,,,,,,,,,,
1400,8.582,4.289509375,6528.1,-10.511,,,,,,,,,,,,,,,,,
1600,9.808,4.287915625,6511.9,-10.552,,,,,,,,,,,,,,,,,
1800,11.034,4.28625625,6498.1,-10.589,,,,,,,,,,,,,,,,,
2000,12.26,4.2845375,6484.3,-10.625,,,,,,,,,,,,,,,,,
2200,13.486,4.282790625,6473.6,-10.658,,,,,,,,,,,,,,,,,
2400,14.712,4.281028125,6463.9,-10.689,,,,,,,,,,,,,,,,,
2600,15.938,4.279234375,6450.6,-10.723,,,,,,,,,,,,,,,,,
2800,17.164,4.2774125,6440.2,-10.753,,,,,,,,,,,,,,,,,
3000,18.39,4.275584375,6430.1,-10.786,,,,,,,,,,,,,,,,,
3200,19.616,4.273734375,6420.9,-10.814,,,,,,,,,,,,,,,,,
3400,20.842,4.27186875,6410.6,-10.839,,,,,,,,,,,,,,,,,
3600,22.068,4.27,6401.5,-10.862,,,,,,,,,,,,,,,,,
3800,23.294,4.26809375,6390.5,-10.889,,,,,,,,,,,,,,,,,
4000,24.52,4.26615,6384.3,-10.908,,,,,,,,,,,,,,,,,
4200,25.746,4.264209375,6383.2,-10.92,,,,,,,,,,,,,,,,,
4400,26.972,4.2622125,6382.9,-10.929,,,,,,,,,,,,,,,,,
4600,28.198,4.260265625,6377.2,-10.947,,,,,,,,,,,,,,,,,
4800,29.424,4.2581,6356.1,-10.982,,,,,,,,,,,,,,,,,
5000,30.65,4.256271875,6114.1,-10.33,,,,,,,,,,,,,,,,,
