Step,height (mm),Frequency (GHz),Q,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,DelAeff
-250,-1.5325,3.5625125,7983.1,-14.245,,0.00613,None,Rexolite,8.85,NaN,41.5,41.5,0,304.8,58.16,29.08,1.675,5,59.8736,1.20E-02
0,0,3.562478125,7966.4,-14.257,,,,,,,,,,,,,,,,
250,1.5325,3.562290625,7936.7,-14.287,,,,,,,,,,,,,,,,
500,3.065,3.56171875,7895.5,-14.345,,,,,,,,,,,,,,,,
750,4.5975,3.56074375,7831.5,-14.429,,,,,,,,,,,,,,,,
1000,6.13,3.559478125,7774.9,-14.509,,,,,,,,,,,,,,,,
1250,7.6625,3.557984375,7711,-14.592,,,,,,,,,,,,,,,,
1500,9.195,3.5563875,7662.2,-14.669,,,,,,,,,,,,,,,,
1750,10.7275,3.554659375,7610.5,-14.747,,,,,,,,,,,,,,,,
2000,12.26,3.552865625,7565.9,-14.818,,,,,,,,,,,,,,,,
2250,13.7925,3.551009375,7517.6,-14.887,,,,,,,,,,,,,,,,
2500,15.325,3.54913125,7472.8,-14.957,,,,,,,,,,,,,,,,
2750,16.8575,3.547228125,7433.4,-15.023,,,,,,,,,,,,,,,,
3000,18.39,3.545284375,7387.7,-15.089,,,,,,,,,,,,,,,,
3250,19.9225,3.54334375,7342.5,-15.163,,,,,,,,,,,,,,,,
3500,21.455,3.54139375,7301.8,-15.23,,,,,,,,,,,,,,,,
3750,22.9875,3.539440625,7235.8,-15.303,,,,,,,,,,,,,,,,
4000,24.52,3.537421875,7198.9,-15.394,,,,,,,,,,,,,,,,
4250,26.0525,3.53535625,7143.1,-15.485,,,,,,,,,,,,,,,,
4500,27.585,3.533184375,7089.9,-15.576,,,,,,,,,,,,,,,,
4750,29.1175,3.53076875,7020.2,-15.683,,,,,,,,,,,,,,,,
5000,30.65,3.527334688,6954.7,-15.805,,,,,,,,,,,,,,,,
