Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,DelAeff
-250,-1.5325,5.117234375,5751.3,-9.2214,0.00613,None,Teflon,9.56,NaN,41.47,41.47,0,304.8,58.16,29.08,1.675,9,67.2941,3.66E-02
0,0,5.117159375,5747,-9.2254,,,,,,,,,,,,,,,
250,1.5325,5.11670625,5748.9,-9.2296,,,,,,,,,,,,,,,
500,3.065,5.11568125,5738.7,-9.2505,,,,,,,,,,,,,,,
750,4.5975,5.114278125,5722.1,-9.2796,,,,,,,,,,,,,,,
1000,6.13,5.112590625,5710.3,-9.3081,,,,,,,,,,,,,,,
1250,7.6625,5.110728125,5697.5,-9.3415,,,,,,,,,,,,,,,
1500,9.195,5.10875,5682.1,-9.3751,,,,,,,,,,,,,,,
1750,10.7275,5.10665,5670.7,-9.4104,,,,,,,,,,,,,,,
2000,12.26,5.104465625,5658.8,-9.444,,,,,,,,,,,,,,,
2250,13.7925,5.102265625,5649.5,-9.4795,,,,,,,,,,,,,,,
2500,15.325,5.100096875,5639.7,-9.5135,,,,,,,,,,,,,,,
2750,16.8575,5.097884375,5631.8,-9.5472,,,,,,,,,,,,,,,
3000,18.39,5.095671875,5624.5,-9.5836,,,,,,,,,,,,,,,
3250,19.9225,5.093478125,5616.2,-9.6185,,,,,,,,,,,,,,,
3500,21.455,5.091309375,5609.2,-9.6533,,,,,,,,,,,,,,,
3750,22.9875,5.089103125,5598.2,-9.6916,,,,,,,,,,,,,,,
4000,24.52,5.08685,5588,-9.7324,,,,,,,,,,,,,,,
4250,26.0525,5.084546875,5573.4,-9.7757,,,,,,,,,,,,,,,
4500,27.585,5.082075,5561.9,-9.8154,,,,,,,,,,,,,,,
4750,29.1175,5.07920625,5548.8,-9.8568,,,,,,,,,,,,,,,
5000,30.65,5.07706875,5441.4,-10.048,,,,,,,,,,,,,,,
