Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample_length (mm),Sample OD (mm),Sample Aeff,Aeff,DelAeff_s,DelAeff_h
-400,-2.452,5.1172875,5779.1,-9.3336,0.00613,Rexolite,Teflon,9,9.32,35,32.1,6.92,304.8,58.16,29.08,1.675,9,26.17,6.79,35.029,60.0727,6.89E-02,1.56E-01
-200,-1.226,5.117278125,5777.5,-9.3378,,,,,,,,,,,,,,,,,,,
0,0,5.117225,5772,-9.93476,,,,,,,,,,,,,,,,,,,
200,1.226,5.11706875,5766.9,-9.2553,,,,,,,,,,,,,,,,,,,
400,2.452,5.1166125,5761.6,-9.3685,,,,,,,,,,,,,,,,,,,
600,3.678,5.11578125,5748.4,-9.3904,,,,,,,,,,,,,,,,,,,
800,4.904,5.114678125,5736,-9.4157,,,,,,,,,,,,,,,,,,,
1000,6.13,5.113403125,5723.1,-9.4435,,,,,,,,,,,,,,,,,,,
1200,7.356,5.111971875,5707.2,-9.4708,,,,,,,,,,,,,,,,,,,
1400,8.582,5.11043125,5692.6,-9.5009,,,,,,,,,,,,,,,,,,,
1600,9.808,5.108815625,5678,-9.53,,,,,,,,,,,,,,,,,,,
1800,11.034,5.10711875,5664.8,-9.5589,,,,,,,,,,,,,,,,,,,
2000,12.26,5.105371875,5651.6,-9.5863,,,,,,,,,,,,,,,,,,,
2200,13.486,5.1035625,5639.1,-9.6162,,,,,,,,,,,,,,,,,,,
2400,14.712,5.101746875,5627.8,-9.6406,,,,,,,,,,,,,,,,,,,
2600,15.938,5.099915625,5619.3,-9.6654,,,,,,,,,,,,,,,,,,,
2800,17.164,5.098071875,5607.6,-9.6898,,,,,,,,,,,,,,,,,,,
3000,18.39,5.096209375,5597.8,-9.7143,,,,,,,,,,,,,,,,,,,
3200,19.616,5.094365625,5585.3,-9.7385,,,,,,,,,,,,,,,,,,,
3400,20.842,5.0925125,5578.3,-9.7595,,,,,,,,,,,,,,,,,,,
3600,22.068,5.090659375,5568.5,-9.7819,,,,,,,,,,,,,,,,,,,
3800,23.294,5.088834375,5560,-9.8029,,,,,,,,,,,,,,,,,,,
4000,24.52,5.086975,5546.6,-9.8257,,,,,,,,,,,,,,,,,,,
4200,25.746,5.08509375,5533.2,-9.8528,,,,,,,,,,,,,,,,,,,
4400,26.972,5.083184375,5522.3,-9.8741,,,,,,,,,,,,,,,,,,,
4600,28.198,5.08113125,5511.7,-9.9079,,,,,,,,,,,,,,,,,,,
4800,29.424,5.078884375,5489.7,-9.9458,,,,,,,,,,,,,,,,,,,
5000,30.65,5.07584375,5465,-9.9869,,,,,,,,,,,,,,,,,,,
